url,username,password,extra,name,grouping,fav
http://password.com,frank,fr@nk,"my notes
",test-import-password,Social,0
http://sn,,,"some notes
on multiple lines",test-import-note,Social,0
http://sn,,,"NoteType:Address
Language:en-US
Title:mr
First Name:Frank
Middle Name:Ashby
Last Name:Willowby
Username:fwillow
Gender:m
Birthday:January,1,1980
Company:Frank and Associates
Address 1:123 Fake St
Address 2:Apt #2
Address 3:CO Frank
City / Town:Franktown
County:Mars
State:CA
Zip / Postal Code:90210
Country:US
Timezone:-08:00,1
Email Address:frank@example.com
Phone:{""num"":""15555551234"",""ext"":""5"",""cc3l"":""USA""}
Evening Phone:{""num"":""2131234"",""ext"":""5"",""cc3l"":""DZA""}
Mobile Phone:{""num"":""3751234"",""ext"":""5"",""cc3l"":""BLR""}
Fax:{""num"":""531234"",""ext"":""5"",""cc3l"":""CUB""}
Notes:some notes",test-import-address,Social,0
http://sn,,,"NoteType:Credit Card
Language:en-US
Name on Card:Frank Willowby
Type:Credit
Number:4321123456789876
Security Code:123
Start Date:January,2019
Expiration Date:March,2022
Notes:some notes",test-import-payment-card,Social,0
http://sn,,,"NoteType:Credit Card
Language:en-US
Name on Card:Frank Willowby
Type:Credit
Number:4321 1234 5678 9876
Security Code:123
Start Date:,
Expiration Date:March,2022
Notes:some notes",test-import-payment-card-spaces,Social,0
http://sn,,,"NoteType:Bank Account
Language:en-US
Bank Name:Chase
Account Type:Checking
Routing Number:044000037
Account Number:1234567890
SWIFT Code:CHASUS33XXX
IBAN Number:GB82WEST123456987654 32
Pin:1234
Branch Address:123 Fake St
Branch Phone:555-555-1234
Notes:some notes",test-import-bank-account,Social,0
http://sn,,,"NoteType:Driver's License
Language:en-US
Number:A123-456-789-123
Expiration Date:January,1,2024
License Class:D
Name:Frank Willowby
Address:123 Fake St
City / Town:Franktown
State:California
ZIP / Postal Code:90210
Country:USA
Date of Birth:January,1,1985
Sex:M
Height:5'10""
Notes:some notes",test-import-drivers-license,Social,0
http://sn,,,"NoteType:Passport
Language:en-US
Type:Diplomatic
Name:Frank Willowby
Country:USA
Number:31195855
Sex:M
Nationality:USA
Issuing Authority:United States Department of State
Date of Birth:January,1,1985
Issued Date:January,02,2015
Expiration Date:January,3,2025
Notes:some notes",test-import-passport,Social,0
http://sn,,,"NoteType:Social Security
Language:en-US
Name:Frank Willowby
Number:123-45-6789
Notes:some notes",test-import-social-security-number,Social,0
http://sn,,,"NoteType:Insurance
Language:en-US
Company:Gecko
Policy Type:Auto
Policy Number:123456789
Expiration:January,2,2022
Agent Name:Sally Sitwell
Agent Phone:555-555-4321
URL:gecko-insurance.com
Notes:some notes",test-import-insurance-policy,Social,0
http://sn,,,"NoteType:Health Insurance
Language:en-US
Company:Kaiser
Company Phone:555-555-9876
Policy Type:PPO
Policy Number:12345678
Group ID:9876543
Member Name:Frank Willowby
Member ID:159753-A
Physician Name:Dr. House
Physician Phone:555-555-6543
Physician Address:124 Fake St
Co-pay:$20
Notes:some notes",test-import-health-insurance,Social,0
http://sn,,fr@nk,"NoteType:Membership
Language:en-US
Organization:Ikea
Membership Number:123456789
Member Name:Frank Willowby
Start Date:January,1,2018
Expiration Date:January,2,2024
Website:ikea.com
Telephone:555-555-8523
Password:fr@nk
Notes:some notes",test-import-membership,Social,0
http://sn,,swissarmy,"NoteType:Wi-Fi Password
Language:en-US
SSID:tell my wifi love her
Password:swissarmy
Connection Type:fast
Connection Mode:automatic
Authentication:yes
Encryption:WPA2
Use 802.1X:sure
FIPS Mode:maybe
Key Type:shared
Protected:ok?
Key Index:7
Notes:some notes",test-import-wifi,Social,0
http://sn,frank,fr@nk,"NoteType:Email Account
Language:en-US
Username:frank
Password:fr@nk
Server:example.com
Port:443
Type:IMAP
SMTP Server:smtp.example.com
SMTP Port:80
Notes:some notes",test-import-email,Social,0
http://sn,frank,fr@nk,"NoteType:Instant Messenger
Language:en-US
Type:AIM
Username:frank
Password:fr@nk
Server:chat.aol.com
Port:1024
Notes:some notes",test-import-instant-messenger,Social,0
http://sn,frank,fr@nk,"NoteType:Database
Language:en-US
Type:sqlite
Hostname:sqlite.example.com
Port:3306
Database:users
Username:frank
Password:fr@nk
SID:ORCL
Alias:no
Notes:some notes",test-import-database,Social,0
http://sn,frank,fr@nk,"NoteType:Server
Language:en-US
Hostname:example.com
Username:frank
Password:fr@nk
Notes:some notes",test-import-server,Social,0
